Date,GeoID,GeoName,NAICS,NAICS Description,Prices,Value
1997-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,179371600000
1998-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,188054800000
1999-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,190749600000
2000-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,202215000000
2001-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,205892100000
2002-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,210970100000
2003-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,218693000000
2004-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,231299300000
2005-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,241957100000
2006-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,257750400000
2007-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,262758000000
2008-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,266188600000
2009-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,251999200000
2010-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,264882800000
2011-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,282733400000
2012-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,294039200000
2013-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,310990000000
2014-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,329203400000
2015-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,317733100000
2016-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,306174000000
2017-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,319212000000
2018-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,325837800000
2019-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,326213100000
2020-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,300801400000
2021-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,316815700000
2022-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,336275000000
2023-01-01T00:00:00,48,Alberta,T001,All industries,Chained (2017) dollars,344149000000
